age_band,n,approval_rate,review_rate,decline_rate,avg_pd,avg_limit_approved,approval_rate_ratio_vs_ref
"[18, 25)",81,0.0,0.0,1.0,0.2640434140529658,,0.0
"[25, 35)",430,0.046511627906976744,0.1186046511627907,0.8348837209302326,0.20670695982717496,45816.869603367246,1.0
"[35, 45)",299,0.06354515050167224,0.10033444816053512,0.8361204013377926,0.21291273851281517,46576.228981869004,1.3662207357859533
"[45, 55)",156,0.07051282051282051,0.08974358974358974,0.8397435897435898,0.21742285722162494,44295.26689804915,1.516025641025641
"[55, 65)",31,0.0,0.12903225806451613,0.8709677419354839,0.20518920232081217,,0.0
"[65, 200)",3,0.0,0.3333333333333333,0.6666666666666666,0.08631894768039504,,0.0
